日期,名称,代码,secid,昨收,开盘,最高,最低,收盘,涨跌额,日涨跌幅(%),成交量,成交额(元),振幅(%),换手率(%),年初至今涨跌幅(%),2025年末归一化=100,数据源
2026-01-05,CPO概念,BK1128,90.BK1128,5006.27,5058.45,5160.74,5058.45,5133.95,127.68,2.55,21143634,121633808001,2.04,2.65,2.5504018,102.5504018,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,CPO概念,BK1128,90.BK1128,5133.95,5114.91,5122.35,5009.78,5099.53,-34.42,-0.67,24320049,131314969677,2.19,3.05,1.86286397,101.86286397,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-07,CPO概念,BK1128,90.BK1128,5099.53,5121.32,5240.77,5110.01,5236.05,136.52,2.68,28540731,142476962498,2.56,3.58,4.58984434,104.58984434,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-08,CPO概念,BK1128,90.BK1128,5236.05,5207.4,5273.1,5171,5205.12,-30.93,-0.59,24133887,125679452766,1.95,3.03,3.97201909,103.97201909,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-09,CPO概念,BK1128,90.BK1128,5205.12,5165.08,5282.19,5114.72,5276.95,71.83,1.38,24728198,139957481391,3.22,3.1,5.40681985,105.40681985,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-12,CPO概念,BK1128,90.BK1128,5276.95,5273.18,5338.64,5195.64,5325.95,49,0.93,27589314,152611941278,2.71,3.46,6.38559247,106.38559247,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-13,CPO概念,BK1128,90.BK1128,5325.95,5312.74,5312.74,5095.4,5112.1,-213.85,-4.02,26331534,143564128917,4.08,3.3,2.11394911,102.11394911,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-14,CPO概念,BK1128,90.BK1128,5112.1,5128.83,5261.43,5089.87,5203.52,91.42,1.79,26577933,154536740354,3.36,3.33,3.94005917,103.94005917,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-15,CPO概念,BK1128,90.BK1128,5203.52,5134.41,5239.34,5105.65,5239.34,35.82,0.69,21016728,139956806070,2.57,2.64,4.65556193,104.65556193,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-16,CPO概念,BK1128,90.BK1128,5239.34,5294.39,5393.05,5292.04,5360.34,121,2.31,28623866,164351946921,1.93,3.59,7.07253105,107.07253105,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
