日期,名称,代码,secid,昨收,开盘,最高,最低,收盘,涨跌额,日涨跌幅(%),成交量,成交额(元),振幅(%),换手率(%),年初至今涨跌幅(%),2025年末归一化=100,数据源
2026-01-05,CPO概念,BK1128,90.BK1128,5006.27,5058.45,5160.74,5058.45,5133.95,127.68,2.55,21143634,121633808001,2.04,2.65,2.5504018,102.5504018,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,PCB概念,BK0877,90.BK0877,2724.26,2739.43,2791.92,2729.01,2790.7,66.44,2.44,34278611,99400020553,2.31,3.28,2.43882742,102.43882742,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK0877&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,上证指数,000001.SH,1.000001,3968.84,3986.97,4025.26,3983.58,4023.42,54.58,1.38,596950455,1067334169201.5,1.05,1.23,1.37521291,101.37521291,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.000001&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,创业板指,399006.SZ,0.399006,3203.17,3229.93,3295.29,3229.93,3294.55,91.38,2.85,271932811,702060594681.01,2.04,4.86,2.85279895,102.85279895,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399006&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,半导体材料设备指数,931743.CSI,2.931743,5149.18,5216.69,5455.02,5216.69,5451.81,302.63,5.88,6311293,48799696866,4.63,3.69,5.87724647,105.87724647,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=2.931743&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,存储芯片概念,BK1137,90.BK1137,2018.24,2047.84,2114.37,2047.84,2114.37,96.13,4.76,26842517,130800155081,3.3,3.19,4.76306088,104.76306088,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-05,科创50指数,000688.SH,1.000688,1344.2,1360.9,1403.53,1360.9,1403.41,59.21,4.4,10345466,81187605285,3.17,1.48,4.40485047,104.40485047,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.000688&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,CPO概念,BK1128,90.BK1128,5133.95,5114.91,5122.35,5009.78,5099.53,-34.42,-0.67,24320049,131314969677,2.19,3.05,1.86286397,101.86286397,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1128&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,PCB概念,BK0877,90.BK0877,2790.7,2792.87,2812.61,2772.83,2804.88,14.18,0.51,36583268,103723360772,1.43,3.5,2.95933575,102.95933575,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK0877&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,上证指数,000001.SH,1.000001,4023.42,4026.02,4083.67,4025.09,4083.67,60.25,1.5,702472270,1175768705035,1.46,1.45,2.89328872,102.89328872,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.000001&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,创业板指,399006.SZ,0.399006,3294.55,3279.81,3321.44,3265.73,3319.29,24.74,0.75,287215987,763475252470.45,1.69,5.13,3.62515883,103.62515883,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399006&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,半导体材料设备指数,931743.CSI,2.931743,5451.81,5459.15,5791.56,5452.68,5667.2,215.39,3.95,7893850,60204178218,6.22,4.61,10.0602426,110.0602426,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=2.931743&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
