日期,上证指数,科创50指数,创业板指,CPO概念,PCB概念,存储芯片概念,半导体材料设备指数
2026-01-05,4023.42,1403.41,3294.55,5133.95,2790.7,2114.37,5451.81
2026-01-06,4083.67,1429.3,3319.29,5099.53,2804.88,2166.23,5667.2
2026-01-07,4085.77,1443.39,3329.69,5236.05,2850.72,2240.78,6082.63
2026-01-08,4082.98,1455.17,3302.31,5205.12,2845.87,2255.64,6051.32
2026-01-09,4120.43,1475.97,3327.81,5276.95,2874.29,2263.28,6031.03
2026-01-12,4165.29,1511.84,3388.34,5325.95,2909.69,2319.7,6110.13
2026-01-13,4138.76,1469.57,3321.89,5112.1,2820.41,2241.75,5914.17
2026-01-14,4126.09,1500.91,3349.14,5203.52,2873.53,2261.41,6044.25
2026-01-15,4112.6,1493.95,3367.92,5239.34,2906.12,2314.25,6343.79
2026-01-16,4101.91,1514.07,3361.02,5360.34,2951.51,2422.93,6576.18
2026-01-19,4114,1506.86,3337.61,5295.22,2980.51,2424.83,6545.37
2026-01-20,4113.65,1482.99,3277.98,5131.79,2919.44,2425.27,6502.65
2026-01-21,4116.94,1535.39,3295.52,5318.66,3017.22,2493.92,6520.75
2026-01-22,4122.58,1541.64,3328.65,5396.95,3076.1,2488.24,6364.35
2026-01-23,4136.16,1553.71,3349.5,5386.98,3099.2,2522.06,6511.22
2026-01-26,4132.61,1532.8,3319.15,5377.92,3069.6,2442.29,6247.23
2026-01-27,4139.9,1555.98,3342.6,5496.55,3106.68,2511.39,6392.46
2026-01-28,4151.24,1554.8,3323.56,5538.2,3078.4,2530.61,6473.05
2026-01-29,4157.98,1507.64,3304.51,5426.6,2991.42,2461.97,6175.48
2026-01-30,4117.95,1509.4,3346.36,5670.61,3013.15,2483.32,6174.45
2026-02-02,4015.75,1450.9,3264.11,5520.45,2935.43,2347.93,5858.49
2026-02-03,4067.74,1471.07,3324.89,5842.41,3026.34,2432.26,6052.9
