日期,名称,代码,secid,昨收,开盘,最高,最低,收盘,涨跌额,日涨跌幅(%),成交量,成交额(元),振幅(%),换手率(%),年初至今涨跌幅(%),2025年末归一化=100,数据源
2026-01-05,存储芯片概念,BK1137,90.BK1137,2018.24,2047.84,2114.37,2047.84,2114.37,96.13,4.76,26842517,130800155081,3.3,3.19,4.76306088,104.76306088,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-06,存储芯片概念,BK1137,90.BK1137,2114.37,2118.32,2172.24,2116.78,2166.23,51.86,2.45,31761256,143592175431,2.62,3.77,7.33262645,107.33262645,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-07,存储芯片概念,BK1137,90.BK1137,2166.23,2241.14,2254.26,2215.27,2240.78,74.55,3.44,42925021,193597949125,1.8,5.1,11.02643888,111.02643888,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-08,存储芯片概念,BK1137,90.BK1137,2240.78,2230.67,2270.56,2230.67,2255.64,14.86,0.66,43708724,150099082647,1.78,5.19,11.76272396,111.76272396,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-09,存储芯片概念,BK1137,90.BK1137,2255.64,2240.42,2269.11,2231.73,2263.28,7.64,0.34,41083050,146285477352,1.66,4.88,12.1412716,112.1412716,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-12,存储芯片概念,BK1137,90.BK1137,2263.28,2278.39,2326.46,2275.81,2319.7,56.42,2.49,40347922,159590002043,2.24,4.79,14.9367766,114.9367766,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-13,存储芯片概念,BK1137,90.BK1137,2319.7,2313.63,2313.7,2232.81,2241.75,-77.95,-3.36,35992693,142058186731,3.49,4.27,11.07450055,111.07450055,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-14,存储芯片概念,BK1137,90.BK1137,2241.75,2256.07,2311.18,2229.6,2261.41,19.66,0.88,37329979,155496527402,3.64,4.43,12.04861662,112.04861662,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-15,存储芯片概念,BK1137,90.BK1137,2261.41,2236.73,2314.32,2231.1,2314.25,52.84,2.34,32930346,146474261590,3.68,3.91,14.66673934,114.66673934,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
2026-01-16,存储芯片概念,BK1137,90.BK1137,2314.25,2342.27,2444.28,2339.65,2422.93,108.68,4.7,52747087,227095661084,4.52,6.26,20.05162914,120.05162914,https://r.jina.ai/http://push2his.eastmoney.com/api/qt/stock/kline/get?secid=90.BK1137&ut=fa5fd1943c7b386f172d6893dbfba10b&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20251201&end=20260717&lmt=1000&_=20260718140000
