名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
上证指数,000001.SH,官方指数,2026-01-05,3986.97,4025.26,3983.58,4023.42,54.58,1.38,54.57999999999993,1.3752129085576659,-0.4787091442334024,1.3752129085576659,596950455.0,1067334169201.5,1.05,1.23,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-06,4026.02,4083.67,4025.09,4083.67,60.25,1.5,60.25,1.4974822414761668,-0.251775852383318,2.893288719121956,702472270.0,1175768705035.0,1.46,1.45,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-07,4083.84,4098.78,4069.44,4085.77,2.1,0.05,2.099999999999909,0.05142433154490256,0.14243315449025545,2.9462009050503335,683384352.0,1197422798276.7,0.72,1.41,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-08,4077.72,4093.87,4067.12,4082.98,-2.79,-0.07,-2.7899999999999636,-0.06828578211696135,0.171421788303866,2.8759032866026324,666131337.0,1183188755951.4,0.65,1.38,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-09,4086.76,4121.72,4083.62,4120.43,37.45,0.92,37.45000000000027,0.917222224943548,-0.27777750564520476,3.8195039356587746,729837985.0,1289205972263.2,0.93,1.51,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-12,4134.89,4168.36,4119.88,4165.29,44.86,1.09,44.85999999999967,1.0887213227745551,-0.12786772254449463,4.949809012205075,839456089.0,1446230122005.3,1.18,1.74,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-13,4169.7,4179.7,4126.23,4138.76,-26.53,-0.64,-26.529999999999745,-0.6369304418179733,0.30695581820266993,4.281351729976524,868382717.0,1481574218613.4,1.28,1.8,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-14,4138.65,4190.87,4103.62,4126.09,-12.67,-0.31,-12.670000000000073,-0.3061303385555103,0.38696614444896915,3.9621148748752777,952551289.0,1607041237767.9,2.11,1.97,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-15,4106.22,4133.07,4096.85,4112.6,-13.49,-0.33,-13.489999999999782,-0.3269439105787697,0.30560894212303125,3.622217070982958,680250791.0,1175915097396.1,0.88,1.41,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-16,4127.06,4140.23,4091.81,4101.91,-10.69,-0.26,-10.69000000000051,-0.2599328891698782,0.006711083012178598,3.3528688483284608,763588465.0,1338017280024.0,1.18,1.58,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-19,4090.72,4126.52,4090.06,4114.0,12.09,0.29,12.090000000000146,0.2947407427271731,0.47407427271731195,3.6574918616018692,688905870.0,1190137813599.0,0.89,1.42,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-20,4116.37,4128.93,4080.29,4113.65,-0.35,-0.01,-0.3500000000003638,-0.008507535245516618,0.14924647544833827,3.648673163947125,734362496.0,1221485626208.5,1.18,1.52,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-21,4103.53,4135.96,4103.53,4116.94,3.29,0.08,3.2899999999999636,0.07997763543325931,-0.002236456674069298,3.731568921901607,666989507.0,1180184557006.2,0.79,1.38,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-22,4126.07,4140.84,4109.92,4122.58,5.64,0.14,5.640000000000327,0.136994952561853,-0.30050474381470016,3.8736759355378236,709695409.0,1201764210237.4,0.75,1.47,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-23,4130.11,4143.75,4120.2,4136.16,13.58,0.33,13.579999999999927,0.3294053723639001,-0.05946276360999092,4.215841404541365,782115454.0,1336857054837.6,0.57,1.62,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-26,4144.78,4160.99,4124.7,4132.61,-3.55,-0.09,-3.550000000000182,-0.08582840122239865,0.4171598777601343,4.126394614043383,887439731.0,1451859840027.3,0.88,1.83,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-27,4125.22,4158.8,4101.83,4139.9,7.29,0.18,7.289999999999964,0.1764018380636001,-0.35981619363998907,4.310075488051912,754990869.0,1289432378945.4,1.38,1.56,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-28,4150.22,4170.15,4138.02,4151.24,11.34,0.27,11.340000000000146,0.273919659895161,0.3919659895160965,4.5958012920651825,823026748.0,1365526057112.0,0.78,1.7,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-29,4155.92,4170.21,4138.3,4157.98,6.74,0.16,6.739999999999782,0.1623611258322777,0.2361125832277683,4.76562421261626,905908371.0,1485795395416.2,0.77,1.87,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-01-30,4131.99,4152.85,4064.78,4117.95,-40.03,-0.96,-40.029999999999745,-0.9627270934444043,-0.27270934444043604,3.757017163705245,804342746.0,1269855689027.9,2.12,1.66,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-02-02,4079.71,4103.41,4013.66,4015.75,-102.2,-2.48,-102.19999999999982,-2.4818174091477463,-0.18174091477463072,1.181957448524007,732953698.0,1163532654161.8,2.18,1.52,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-02-03,4043.91,4069.42,4002.78,4067.74,51.99,1.29,51.98999999999978,1.294652306542976,0.46523065429759924,2.4919119944366575,637684249.0,1110720213016.3,1.66,1.32,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-02-04,4064.68,4104.62,4062.68,4102.2,34.46,0.85,34.460000000000036,0.8471534562189298,-0.28465437810701877,3.3601757692423906,674254244.0,1063544769928.3,1.03,1.39,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
上证指数,000001.SH,官方指数,2026-02-05,4075.03,4088.9,4048.94,4075.92,-26.28,-0.64,-26.279999999999745,-0.6406318560772228,-0.06318560772228254,2.698017556767218,596722236.0,946988891270.6,0.97,1.23,https://47.push2his.eastmoney.com/api/qt/stock/kline/get
