名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
创业板指,399006.SZ,官方指数,2026-01-05,3229.93,3295.29,3229.93,3294.55,91.38,2.85,91.38000000000011,2.8527989460440883,0.27989460440882574,2.8527989460440883,271932811.0,702060594681.01,2.04,4.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-06,3279.81,3321.44,3265.73,3319.29,24.74,0.75,24.73999999999978,0.7509371537842702,0.09371537842701727,3.625158827036956,287215987.0,763475252470.45,1.69,5.13,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-07,3331.34,3351.22,3298.55,3329.69,10.4,0.31,10.400000000000091,0.31332001723261005,0.3320017232610051,3.949837192531147,280159801.0,763250511330.69,1.59,5.01,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-08,3308.74,3328.96,3285.16,3302.31,-27.38,-0.82,-27.38000000000011,-0.8222987725584052,-0.2298772558405271,3.095058957220509,289751046.0,755650931993.28,1.32,5.18,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-09,3279.38,3330.01,3269.99,3327.81,25.5,0.77,25.5,0.7721867420078743,0.2186742007874276,3.8911453341533564,343906904.0,878901067435.76,1.82,6.15,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-12,3323.64,3398.05,3282.39,3388.34,60.53,1.82,60.5300000000002,1.8189139403992582,-0.10860596007418177,5.780835859476707,421073541.0,1096218819856.51,3.48,7.53,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-13,3390.69,3416.84,3307.63,3321.89,-66.45,-1.96,-66.45000000000027,-1.9611373120761333,-0.11373120761333233,3.7063284184104983,433839451.0,1086922219547.79,3.22,7.76,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-14,3333.17,3403.95,3308.63,3349.14,27.25,0.82,27.25,0.8203161453269159,0.03161453269159287,4.557048174152478,457478907.0,1165157052172.91,2.87,8.18,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-15,3318.11,3372.47,3309.06,3367.92,18.78,0.56,18.7800000000002,0.560740966337625,0.07409663376249931,5.143342376458326,320578479.0,849713484169.71,1.89,5.73,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-16,3394.35,3407.86,3354.65,3361.02,-6.9,-0.2,-6.900000000000091,-0.20487422504097408,-0.48742250409740673,4.927930768582378,312079464.0,846356149931.99,1.58,5.58,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-19,3340.94,3383.79,3326.13,3337.61,-23.41,-0.7,-23.409999999999854,-0.6965147484989664,0.3485251501033515,4.197092255484414,266213496.0,715063522775.42,1.72,4.76,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-20,3340.46,3347.94,3257.44,3277.98,-59.63,-1.79,-59.63000000000011,-1.7866077822154214,0.3392217784578655,2.335498896405741,271654065.0,709272948430.77,2.71,4.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-21,3270.13,3329.5,3270.13,3295.52,17.54,0.54,17.539999999999964,0.5350856320050834,-0.4914367994916624,2.883081447441116,239488784.0,656117027993.19,1.81,4.28,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-22,3312.75,3337.27,3280.32,3328.65,33.13,1.01,33.13000000000011,1.0053041705102794,-0.4695829489720582,3.9173693559817258,244048571.0,686175753499.66,1.73,4.36,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-23,3334.02,3349.5,3316.65,3349.5,20.85,0.63,20.84999999999991,0.6263800639898953,-0.3619936010104685,4.568287040650354,304128627.0,822626759653.5,0.99,5.44,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-26,3365.61,3367.99,3304.36,3319.15,-30.35,-0.91,-30.34999999999991,-0.9061053888640092,0.38946111359908775,3.6207881567322353,326114075.0,845211177604.5,1.9,5.83,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-27,3316.02,3366.68,3277.26,3342.6,23.45,0.71,23.449999999999818,0.7065061838121167,-0.34938161878832474,4.352875432774406,275879502.0,750371809751.3,2.69,4.93,https://push2his.eastmoney.com/api/qt/stock/kline/get
