名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
PCB,BK0877,东方财富概念板块,2026-01-05,2739.43,2791.92,2729.01,2790.7,66.44,2.44,66.4399999999996,2.4388274246951225,-0.11725753048774656,2.4388274246951225,34278611.0,99400020553.0,2.31,3.28,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-06,2792.87,2812.61,2772.83,2804.88,14.18,0.51,14.180000000000291,0.5081162432364783,-0.18837567635217045,2.9593357462209813,36583268.0,103723360772.0,1.43,3.5,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-07,2807.37,2861.39,2804.21,2850.72,45.84,1.63,45.83999999999969,1.6342945152733712,0.42945152733713243,4.641994523283377,42711168.0,114767122849.0,2.04,4.09,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-08,2834.71,2860.53,2828.84,2845.87,-4.85,-0.17,-4.849999999999909,-0.1701324577650487,-0.013245776504869355,4.463964526146547,34999759.0,96923773535.0,1.11,3.35,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-09,2834.69,2876.76,2820.61,2874.29,28.42,1.0,28.420000000000073,0.9986401346512741,-0.13598653487258971,5.507183602152499,37439643.0,102241069262.0,1.97,3.58,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-12,2880.78,2911.95,2838.4,2909.69,35.4,1.23,35.40000000000009,1.2316085015777745,0.16085015777744793,6.806619045171902,43198777.0,113983937310.0,2.56,4.13,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-13,2907.82,2907.82,2811.95,2820.41,-89.28,-3.07,-89.2800000000002,-3.068368107942776,0.1631892057223805,3.5293988092178985,40783191.0,100816898374.0,3.29,3.9,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-14,2826.31,2903.99,2826.31,2873.53,53.12,1.88,53.120000000000346,1.8834141135508853,0.3414113550885389,5.4792861180650965,42890792.0,109239935726.0,2.75,4.1,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-15,2855.66,2907.2,2848.91,2906.12,32.59,1.13,32.58999999999969,1.1341451107174771,0.41451107174772517,6.6755742843928045,39287282.0,99799290736.0,2.03,3.76,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
PCB,BK0877,东方财富概念板块,2026-01-16,2929.18,2963.1,2900.69,2951.51,45.39,1.56,45.39000000000033,1.5618763161879157,0.18763161879156165,8.341714814298197,39810496.0,110537733815.0,2.15,3.81,https://40.push2his.eastmoney.com/api/qt/stock/kline/get
