名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
CPO概念,BK1128,东方财富概念板块,2026-01-05,5058.45,5160.74,5058.45,5133.95,127.68,2.55,127.67999999999938,2.5504017961476277,0.04017961476279197,2.5504017961476277,21143634.0,121633808001.0,2.04,2.65,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-05,3229.93,3295.29,3229.93,3294.55,91.38,2.85,91.38000000000011,2.8527989460440883,0.27989460440882574,2.8527989460440883,271932811.0,702060594681.01,2.04,4.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-05,1360.9,1403.53,1360.9,1403.41,59.21,4.4,59.210000000000036,4.404850468680266,0.4850468680265507,4.404850468680266,10345466.0,81187605285.0,3.17,1.48,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-06,5114.91,5122.35,5009.78,5099.53,-34.42,-0.67,-34.42000000000007,-0.6704389407765965,-0.04389407765964526,1.8628639685833726,24320049.0,131314969677.0,2.19,3.05,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-06,3279.81,3321.44,3265.73,3319.29,24.74,0.75,24.73999999999978,0.7509371537842702,0.09371537842701727,3.625158827036956,287215987.0,763475252470.45,1.69,5.13,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-06,1401.79,1442.1,1400.4,1429.3,25.89,1.84,25.889999999999873,1.8447923272600253,0.47923272600252087,6.330903139413779,11820332.0,80797910467.0,2.97,1.69,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-07,5121.32,5240.77,5110.01,5236.05,136.52,2.68,136.52000000000044,2.677109459107019,-0.28905408929813525,4.589844335203641,28540731.0,142476962498.0,2.56,3.58,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-07,3331.34,3351.22,3298.55,3329.69,10.4,0.31,10.400000000000091,0.31332001723261005,0.3320017232610051,3.949837192531147,280159801.0,763250511330.69,1.59,5.01,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-07,1442.51,1452.04,1427.98,1443.39,14.09,0.99,14.090000000000146,0.9857972434058837,-0.4202756594116286,7.379110251450682,12338548.0,87127775010.0,1.68,1.76,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-08,5207.4,5273.1,5171.0,5205.12,-30.93,-0.59,-30.93000000000029,-0.5907124645486594,-0.0712464548659475,3.9720190880635498,24133887.0,125679452766.0,1.95,3.03,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-01-08,3308.74,3328.96,3285.16,3302.31,-27.38,-0.82,-27.38000000000011,-0.8222987725584052,-0.2298772558405271,3.095058957220509,289751046.0,755650931993.28,1.32,5.18,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-08,1441.19,1483.23,1441.19,1455.17,11.78,0.82,11.779999999999973,0.8161342395333282,-0.38657604666717527,8.255467936318993,13482288.0,99247984749.0,2.91,1.92,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-01-09,5165.08,5282.19,5114.72,5276.95,71.83,1.38,71.82999999999993,1.3799873970244736,-0.0012602975526299076,5.4068198479107155,24728198.0,139957481391.0,3.22,3.1,https://push2his.eastmoney.com/api/qt/stock/kline/get
